Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-08-2018,ADANIGREEN,EQ,55.55,55.2,57.4,53.25,55,55.5,55.24,1065753,5.88757E+12,6033,358148,0.3361
28-08-2018,ADANIGREEN,EQ,55.5,56.1,58.25,55.35,58.25,58.25,57.43,895093,5.14031E+12,3359,575122,0.6425
29-08-2018,ADANIGREEN,EQ,58.25,60,61.15,58,61.15,60.9,60.54,3048560,1.84551E+13,10670,837189,0.2746
30-08-2018,ADANIGREEN,EQ,60.9,62.6,62.8,58.7,59.2,59.05,60.77,927625,5.63692E+12,5163,548350,0.5911
31-08-2018,ADANIGREEN,EQ,59.05,59,59.4,56.9,57.15,57.4,58.08,611779,3.55319E+12,3877,362603,0.5927
03-09-2018,ADANIGREEN,EQ,57.4,57.8,58.6,55.7,56.2,55.9,56.93,444735,2.53175E+12,2933,265416,0.5968
04-09-2018,ADANIGREEN,EQ,55.9,56.8,56.8,53.25,53.9,53.5,54.56,528265,2.88199E+12,3429,322290,0.6101
05-09-2018,ADANIGREEN,EQ,53.5,53.5,54.5,51,52.4,52.25,51.97,476641,2.47722E+12,2745,273697,0.5742
06-09-2018,ADANIGREEN,EQ,52.25,53.25,54.85,52.45,54.85,54.85,54.61,773528,4.22411E+12,2839,275200,0.3558
07-09-2018,ADANIGREEN,EQ,54.85,56,57.45,55,55.75,55.7,56.5,470728,2.6596E+12,3140,267037,0.5673
10-09-2018,ADANIGREEN,EQ,55.7,56,56,53.75,54.35,54.05,54.66,277861,1.51871E+12,1864,159718,0.5748
11-09-2018,ADANIGREEN,EQ,54.05,54.35,55.4,52,53.15,52.5,53.57,281671,1.50896E+12,2390,164138,0.5827
12-09-2018,ADANIGREEN,EQ,52.5,54,54,51.2,52.5,52.65,52.41,248721,1.30353E+12,1999,116400,0.468
14-09-2018,ADANIGREEN,EQ,52.65,54.4,55.25,53.35,55.25,55.25,54.92,335372,1.84176E+12,1535,221174,0.6595
17-09-2018,ADANIGREEN,EQ,55.25,55.5,56.2,52.9,54.2,53.75,53.9,383467,2.06677E+12,2732,209494,0.5463
18-09-2018,ADANIGREEN,EQ,53.75,53.4,54.75,53.15,53.35,53.3,53.94,190458,1.02734E+12,1333,111558,0.5857
19-09-2018,ADANIGREEN,EQ,53.3,54,54.2,51.4,51.7,51.8,52.49,242903,1.2751E+12,1490,147812,0.6085
